Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Transcript start (bp)	Transcript end (bp)
YBL047C	YBL047C.1	YBL047C	YBL047C.1	127895	132040
YKR001C	YKR001C.1	YKR001C	YKR001C.1	440608	442722
YNR072W	YNR072W.1	YNR072W	YNR072W.1	772657	774351
YLR157W-E	YLR157W-E.1	YLR157W-E	YLR157W-E.1	481873	482037
YBR154C	YBR154C.1	YBR154C	YBR154C.1	548362	549009
YPL156C	YPL156C.1	YPL156C	YPL156C.1	255913	256767
YKL048C	YKL048C.1	YKL048C	YKL048C.1	347214	349136
YJL020C	YJL020C.1	YJL020C	YJL020C.1	398937	402410
YPL105C	YPL105C.1	YPL105C	YPL105C.1	352863	355412
YLR251W	YLR251W.1	YLR251W	YLR251W.1	641464	642057
YHR049C-A	YHR049C-A.1	YHR049C-A	YHR049C-A.1	207234	207530
YGR113W	YGR113W.1	YGR113W	YGR113W.1	718893	719924
YEL018C-A	YEL018C-A.1	YEL018C-A	YEL018C-A.1	121455	121988
YHL006W-A	YHL006W-A.1	YHL006W-A	YHL006W-A.1	97732	98085
YGL008C	YGL008C.1	YGL008C	YGL008C.1	479910	482666
YBR253W	YBR253W.1	YBR253W	YBR253W.1	723270	723635
YLR212C	YLR212C.1	YLR212C	YLR212C.1	564860	566281
YCR020C	YCR020C.1	YCR020C	YCR020C.1	154012	154659
YDR340W	YDR340W.1	YDR340W	YDR340W.1	1150881	1151183
YJR141W	YJR141W.1	YJR141W	YJR141W.1	695906	696949
YHR060W	YHR060W.1	YHR060W	YHR060W.1	220725	221270
YDR361C	YDR361C.1	YDR361C	YDR361C.1	1195412	1196263
YPL009C	YPL009C.1	YPL009C	YPL009C.1	535820	538936
YNL027W	YNL027W.1	YNL027W	YNL027W.1	579580	581616
YNL065W	YNL065W.1	YNL065W	YNL065W.1	503724	505484
YNL211C	YNL211C.1	YNL211C	YNL211C.1	250055	250315
YHL038C	YHL038C.1	YHL038C	YHL038C.1	23617	25509
YPL070W	YPL070W.1	YPL070W	YPL070W.1	420948	422786
YOL111C	YOL111C.1	YOL111C	YOL111C.1	108258	108896
YDR075W	YDR075W.1	YDR075W	YDR075W.1	597156	598082
YER009W	YER009W.1	YER009W	YER009W.1	172115	172492
YMR219W	YMR219W.1	YMR219W	YMR219W.1	707133	712109
YFL034C-B	YFL034C-B.1	YFL034C-B	YFL034C-B.1	63016	63993
YIR011C	YIR011C.1	YIR011C	YIR011C.1	377287	378246
YMR297W	YMR297W.1	YMR297W	YMR297W.1	861922	863520
YIL139C	YIL139C.1	YIL139C	YIL139C.1	87979	88716
YJR021C	YJR021C.1	YJR021C	YJR021C.1	468555	469579
YDR254W	YDR254W.1	YDR254W	YDR254W.1	965113	966489
YNL301C	YNL301C.1	YNL301C	YNL301C.1	63570	64562
YPL005W	YPL005W.1	YPL005W	YPL005W.1	548486	550306
YGL105W	YGL105W.1	YGL105W	YGL105W.1	307437	308567
YBR255C-A	YBR255C-A.1	YBR255C-A	YBR255C-A.1	726618	727074
YDL224C	YDL224C.1	YDL224C	YDL224C.1	54397	56346
YKL188C	YKL188C.1	YKL188C	YKL188C.1	86225	88786
YGR090W	YGR090W.1	YGR090W	YGR090W.1	662358	666071
YKL062W	YKL062W.1	YKL062W	YKL062W.1	323228	325120
YER044C	YER044C.1	YER044C	YER044C.1	237570	238016
YNL315C	YNL315C.1	YNL315C	YNL315C.1	43324	44280
YLL049W	YLL049W.1	YLL049W	YLL049W.1	40666	41205
YKL216W	YKL216W.1	YKL216W	YKL216W.1	25215	26159
YJL158C	YJL158C.1	YJL158C	YJL158C.1	122265	122948
YDR162C	YDR162C.1	YDR162C	YDR162C.1	780390	781100
YCR024C-B	YCR024C-B.1	YCR024C-B	YCR024C-B.1	162599	162865
YJL202C	YJL202C.1	YJL202C	YJL202C.1	53943	54290
YCR059C	YCR059C.1	YCR059C	YCR059C.1	223454	224230
YDL183C	YDL183C.1	YDL183C	YDL183C.1	130871	131833
YKR046C	YKR046C.1	YKR046C	YKR046C.1	524223	525074
YCL039W	YCL039W.1	YCL039W	YCL039W.1	52645	54882
YER140W	YER140W.1	YER140W	YER140W.1	451565	453235
YPL069C	YPL069C.1	YPL069C	YPL069C.1	422885	423892
YOR386W	YOR386W.1	YOR386W	YOR386W.1	1066839	1068536
YLR365W	YLR365W.1	YLR365W	YLR365W.1	855199	855531
YPL151C	YPL151C.1	YPL151C	YPL151C.1	266180	267535
YNL042W	YNL042W.1	YNL042W	YNL042W.1	548100	549290
YHR207C	YHR207C.1	YHR207C	YHR207C.1	514905	516485
YCR064C	YCR064C.1	YCR064C	YCR064C.1	228095	228505
YDR171W	YDR171W.1	YDR171W	YDR171W.1	806621	807748
YPL157W	YPL157W.1	YPL157W	YPL157W.1	254814	255761
YLR227W-A	YLR227W-A.1	YLR227W-A	YLR227W-A.1	593438	594760
YDR479C	YDR479C.1	YDR479C	YDR479C.1	1415210	1416874
YAL034W-A	YAL034W-A.1	YAL034W-A	YAL034W-A.1	79718	80587
YBR013C	YBR013C.1	YBR013C	YBR013C.1	265492	265881
YOR258W	YOR258W.1	YOR258W	YOR258W.1	811671	812324
YNR057C	YNR057C.1	YNR057C	YNR057C.1	733356	734069
YJL113W	YJL113W.1	YJL113W	YJL113W.1	198678	203325
YIL015W	YIL015W.1	YIL015W	YIL015W.1	322342	324105
YGR161W-C	YGR161W-C.1	YGR161W-C	YGR161W-C.1	810227	810505
YHR127W	YHR127W.1	YHR127W	YHR127W.1	360913	361644
YFL018C	YFL018C.1	YFL018C	YFL018C.1	101628	103127
YNL328C	YNL328C.1	YNL328C	YNL328C.1	22834	23274
YCL049C	YCL049C.1	YCL049C	YCL049C.1	39786	40724
YLR072W	YLR072W.1	YLR072W	YLR072W.1	278862	280943
YHR111W	YHR111W.1	YHR111W	YHR111W.1	333072	334394
YGL055W	YGL055W.1	YGL055W	YGL055W.1	398628	400160
YBR288C	YBR288C.1	YBR288C	YBR288C.1	778012	779463
YOL055C	YOL055C.1	YOL055C	YOL055C.1	224420	226075
YOR347C	YOR347C.1	YOR347C	YOR347C.1	984942	986462
YGL065C	YGL065C.1	YGL065C	YGL065C.1	379760	381271
YHR013C	YHR013C.1	YHR013C	YHR013C.1	130730	131446
YOR307C	YOR307C.1	YOR307C	YOR307C.1	892731	894092
YAL042C-A	YAL042C-A.1	YAL042C-A	YAL042C-A.1	61231	61608
YNL144C	YNL144C.1	YNL144C	YNL144C.1	352820	355042
YIR038C	YIR038C.1	YIR038C	YIR038C.1	423809	424513
YLR230W	YLR230W.1	YLR230W	YLR230W.1	604574	604879
YAL046C	YAL046C.1	YAL046C	YAL046C.1	57029	57385
YPL193W	YPL193W.1	YPL193W	YPL193W.1	181403	182548
YER147C-A	YER147C-A.1	YER147C-A	YER147C-A.1	465203	465613
YJL045W	YJL045W.1	YJL045W	YJL045W.1	356024	357928
YGR208W	YGR208W.1	YGR208W	YGR208W.1	911883	912812
YDR347W	YDR347W.1	YDR347W	YDR347W.1	1169178	1170143
YER190C-B	YER190C-B.1	YER190C-B	YER190C-B.1	575680	576162
YKR078W	YKR078W.1	YKR078W	YKR078W.1	584952	586709
YDR201W	YDR201W.1	YDR201W	YDR201W.1	856317	856814
YPR087W	YPR087W.1	YPR087W	YPR087W.1	711354	711674
YLR027C	YLR027C.1	YLR027C	YLR027C.1	196829	198085
YOR275C	YOR275C.1	YOR275C	YOR275C.1	839084	841069
YML077W	YML077W.1	YML077W	YML077W.1	111865	112344
YGL245W	YGL245W.1	YGL245W	YGL245W.1	39023	41149
YHR058C	YHR058C.1	YHR058C	YHR058C.1	218997	219884
YPR181C	YPR181C.1	YPR181C	YPR181C.1	897361	899667
YDL025W-A	YDL025W-A.1	YDL025W-A	YDL025W-A.1	405410	405514
YER190W	YER190W.1	YER190W	YER190W.1	571480	576525
YBR106W	YBR106W.1	YBR106W	YBR106W.1	452658	453224
YHR018C	YHR018C.1	YHR018C	YHR018C.1	140011	141402
YPL197C	YPL197C.1	YPL197C	YPL197C.1	174343	174756
YBR170C	YBR170C.1	YBR170C	YBR170C.1	576344	578086
YMR304W	YMR304W.1	YMR304W	YMR304W.1	874987	878679
YDL211C	YDL211C.1	YDL211C	YDL211C.1	79294	80412
YPL078C	YPL078C.1	YPL078C	YPL078C.1	408010	408744
YDR273W	YDR273W.1	YDR273W	YDR273W.1	1010176	1011273
YOL007C	YOL007C.1	YOL007C	YOL007C.1	311342	312367
YDR399W	YDR399W.1	YDR399W	YDR399W.1	1270068	1270733
YLR064W	YLR064W.1	YLR064W	YLR064W.1	265456	266277
YKL181W	YKL181W.1	YKL181W	YKL181W.1	107316	108599
YML047W-A	YML047W-A.1	YML047W-A	YML047W-A.1	179893	180258
YGR192C	YGR192C.1	YGR192C	YGR192C.1	882812	883810
YGL045W	YGL045W.1	YGL045W	YGL045W.1	414102	415730
YDL078C	YDL078C.1	YDL078C	YDL078C.1	315357	316388
YOL041C	YOL041C.1	YOL041C	YOL041C.1	251267	252646
YMR226C	YMR226C.1	YMR226C	YMR226C.1	721593	722396
YHR200W	YHR200W.1	YHR200W	YHR200W.1	499079	499885
YDR524C	YDR524C.1	YDR524C	YDR524C.1	1487542	1488990
YLR111W	YLR111W.1	YLR111W	YLR111W.1	370391	370723
YBR219C	YBR219C.1	YBR219C	YBR219C.1	662499	663303
YMR122C	YMR122C.1	YMR122C	YMR122C.1	510701	511075
YGR270W	YGR270W.1	YGR270W	YGR270W.1	1027370	1031509
YPR125W	YPR125W.1	YPR125W	YPR125W.1	787961	789325
YEL046C	YEL046C.1	YEL046C	YEL046C.1	67629	68792
YIR015W	YIR015W.1	YIR015W	YIR015W.1	381948	382382
YGR136W	YGR136W.1	YGR136W	YGR136W.1	762428	763153
YMR242C	YMR242C.1	YMR242C	YMR242C.1	753225	754220
YLR379W	YLR379W.1	YLR379W	YLR379W.1	876922	877296
YDR204W	YDR204W.1	YDR204W	YDR204W.1	858137	859144
YPL161C	YPL161C.1	YPL161C	YPL161C.1	244319	246220
YMR145C	YMR145C.1	YMR145C	YMR145C.1	554793	556475
YIR017W-A	YIR017W-A.1	YIR017W-A	YIR017W-A.1	383566	384165
YLL031C	YLL031C.1	YLL031C	YLL031C.1	77152	80205
YDR300C	YDR300C.1	YDR300C	YDR300C.1	1061505	1062791
YLR229C	YLR229C.1	YLR229C	YLR229C.1	604212	604787
YLR421C	YLR421C.1	YLR421C	YLR421C.1	965090	965560
YJR151C	YJR151C.1	YJR151C	YJR151C.1	712255	715740
YMR307C-A	YMR307C-A.1	YMR307C-A	YMR307C-A.1	887731	887925
YPL096W	YPL096W.1	YPL096W	YPL096W.1	366927	368018
YML038C	YML038C.1	YML038C	YML038C.1	202775	204103
YJL082W	YJL082W.1	YJL082W	YJL082W.1	281185	283380
YIL006W	YIL006W.1	YIL006W	YIL006W.1	344062	345183
YLR392C	YLR392C.1	YLR392C	YLR392C.1	904749	906305
YGR075C	YGR075C.1	YGR075C	YGR075C.1	636147	636875
YBR268W	YBR268W.1	YBR268W	YBR268W.1	741299	741616
YDR316W	YDR316W.1	YDR316W	YDR316W.1	1093763	1095178
YNR070W	YNR070W.1	YNR070W	YNR070W.1	765375	769376
YKR020W	YKR020W.1	YKR020W	YKR020W.1	478338	478832
YOL164W-A	YOL164W-A.1	YOL164W-A	YOL164W-A.1	4130	4312
YPR142C	YPR142C.1	YPR142C	YPR142C.1	818130	818693
YNL145W	YNL145W.1	YNL145W	YNL145W.1	352414	352530
YHR068W	YHR068W.1	YHR068W	YHR068W.1	232133	233296
YEL010W	YEL010W.1	YEL010W	YEL010W.1	136279	136629
YOL013W-B	YOL013W-B.1	YOL013W-B	YOL013W-B.1	300690	300980
YGL160W	YGL160W.1	YGL160W	YGL160W.1	200561	202273
YGR042W	YGR042W.1	YGR042W	YGR042W.1	579476	580291
YDR430C	YDR430C.1	YDR430C	YDR430C.1	1325501	1328470
YPR160W	YPR160W.1	YPR160W	YPR160W.1	861306	864014
YER007W	YER007W.1	YER007W	YER007W.1	164527	166083
YGR095C	YGR095C.1	YGR095C	YGR095C.1	675671	676342
YCR041W	YCR041W.1	YCR041W	YCR041W.1	200911	201243
YFL033C	YFL033C.1	YFL033C	YFL033C.1	69115	74427
YDL089W	YDL089W.1	YDL089W	YDL089W.1	296820	298274
YDR522C	YDR522C.1	YDR522C	YDR522C.1	1483795	1485303
YEL062W	YEL062W.1	YEL062W	YEL062W.1	34407	36254
YBR026C	YBR026C.1	YBR026C	YBR026C.1	292877	294019
YLR143W	YLR143W.1	YLR143W	YLR143W.1	427329	429386
YMR125W	YMR125W.1	YMR125W	YMR125W.1	517539	520446
YLR126C	YLR126C.1	YLR126C	YLR126C.1	394765	395520
YGL086W	YGL086W.1	YGL086W	YGL086W.1	347119	349368
YNL129W	YNL129W.1	YNL129W	YNL129W.1	381480	382202
YGL048C	YGL048C.1	YGL048C	YGL048C.1	410069	411286
YER106W	YER106W.1	YER106W	YER106W.1	372326	373234
YBR083W	YBR083W.1	YBR083W	YBR083W.1	409169	410629
YJR012C	YJR012C.1	YJR012C	YJR012C.1	459795	460418
YGR169C	YGR169C.1	YGR169C	YGR169C.1	834689	835903
YDR509W	YDR509W.1	YDR509W	YDR509W.1	1468226	1468573
Q0010	Q0010.1	Q0010	Q0010.1	3952	4338
YMR074C	YMR074C.1	YMR074C	YMR074C.1	413036	413473
YJL127W-A	YJL127W-A.1	YJL127W-A	YJL127W-A.1	180194	180310
YDR341C	YDR341C.1	YDR341C	YDR341C.1	1151803	1153626
YDR521W	YDR521W.1	YDR521W	YDR521W.1	1483141	1483476
YMR269W	YMR269W.1	YMR269W	YMR269W.1	804456	805091
YJR112W-A	YJR112W-A.1	YJR112W-A	YJR112W-A.1	637790	638168
YHR138C	YHR138C.1	YHR138C	YHR138C.1	377355	377699
YBL039C-A	YBL039C-A.1	YBL039C-A	YBL039C-A.1	144948	145031
YFL021W	YFL021W.1	YFL021W	YFL021W.1	95966	97498
YPL144W	YPL144W.1	YPL144W	YPL144W.1	280480	280926
YML026C	YML026C.1	YML026C	YML026C.1	222987	223828
YEL053C	YEL053C.1	YEL053C	YEL053C.1	53901	56102
YHL020C	YHL020C.1	YHL020C	YHL020C.1	66242	67456
YGR106C	YGR106C.1	YGR106C	YGR106C.1	698989	699786
YLR444C	YLR444C.1	YLR444C	YLR444C.1	1023686	1023988
YJR128W	YJR128W.1	YJR128W	YJR128W.1	662921	663280
YMR194C-B	YMR194C-B.1	YMR194C-B	YMR194C-B.1	652594	652887
YLR452C	YLR452C.1	YLR452C	YLR452C.1	1039270	1041366
YMR005W	YMR005W.1	YMR005W	YMR005W.1	276045	277211
YOL099C	YOL099C.1	YOL099C	YOL099C.1	132017	132508
YLR363C	YLR363C.1	YLR363C	YLR363C.1	852495	853151
YIL023C	YIL023C.1	YIL023C	YIL023C.1	309386	310426
YGL115W	YGL115W.1	YGL115W	YGL115W.1	292033	293001
YKL138C	YKL138C.1	YKL138C	YKL138C.1	185286	185681
YOL109W	YOL109W.1	YOL109W	YOL109W.1	110297	110638
YGL002W	YGL002W.1	YGL002W	YGL002W.1	494517	495167
YOR312C	YOR312C.1	YOR312C	YOR312C.1	900250	901194
YLR179C	YLR179C.1	YLR179C	YLR179C.1	514108	514713
YNL230C	YNL230C.1	YNL230C	YNL230C.1	217523	218662
YHL028W	YHL028W.1	YHL028W	YHL028W.1	48763	50580
YCR015C	YCR015C.1	YCR015C	YCR015C.1	141217	142170
YPR199C	YPR199C.1	YPR199C	YPR199C.1	938148	939032
YMR313C	YMR313C.1	YMR313C	YMR313C.1	899379	901307
YLR361C	YLR361C.1	YLR361C	YLR361C.1	847388	849124
YBR077C	YBR077C.1	YBR077C	YBR077C.1	391805	392293
YOR298W	YOR298W.1	YOR298W	YOR298W.1	875599	877038
YDR380W	YDR380W.1	YDR380W	YDR380W.1	1234218	1236125
YMR135W-A	YMR135W-A.1	YMR135W-A	YMR135W-A.1	539911	540444
YGL226C-A	YGL226C-A.1	YGL226C-A	YGL226C-A.1	72749	73158
YDL177C	YDL177C.1	YDL177C	YDL177C.1	141209	141721
YOL084W	YOL084W.1	YOL084W	YOL084W.1	162356	165331
YLR069C	YLR069C.1	YLR069C	YLR069C.1	271630	273915
YDR060W	YDR060W.1	YDR060W	YDR060W.1	570649	573726
YDL096C	YDL096C.1	YDL096C	YDL096C.1	286998	287324
YGR149W	YGR149W.1	YGR149W	YGR149W.1	789031	790329
YPL213W	YPL213W.1	YPL213W	YPL213W.1	150614	151330
YPL203W	YPL203W.1	YPL203W	YPL203W.1	166256	167398
YLL041C	YLL041C.1	YLL041C	YLL041C.1	53131	53931
YGL258W-A	YGL258W-A.1	YGL258W-A	YGL258W-A.1	9162	9395
YBL026W	YBL026W.1	YBL026W	YBL026W.1	170623	171038
YBR076C-A	YBR076C-A.1	YBR076C-A	YBR076C-A.1	391351	391617
YNR021W	YNR021W.1	YNR021W	YNR021W.1	668377	669591
YGR080W	YGR080W.1	YGR080W	YGR080W.1	642010	643008
YBL055C	YBL055C.1	YBL055C	YBL055C.1	115573	116829
YBR195C	YBR195C.1	YBR195C	YBR195C.1	610614	611882
YCR096C	YCR096C.1	YCR096C	YCR096C.1	293179	293538
YIL172C	YIL172C.1	YIL172C	YIL172C.1	16784	18553
YPL191C	YPL191C.1	YPL191C	YPL191C.1	183597	184679
YMR013C	YMR013C.1	YMR013C	YMR013C.1	295179	296738
YPL148C	YPL148C.1	YPL148C	YPL148C.1	272294	272815
YFL038C	YFL038C.1	YFL038C	YFL038C.1	55366	55986
YPL088W	YPL088W.1	YPL088W	YPL088W.1	381965	382993
YPL240C	YPL240C.1	YPL240C	YPL240C.1	96496	98625
YIL037C	YIL037C.1	YIL037C	YIL037C.1	283029	284999
YGL145W	YGL145W.1	YGL145W	YGL145W.1	230243	232348
YLR232W	YLR232W.1	YLR232W	YLR232W.1	606830	607177
YNL004W	YNL004W.1	YNL004W	YNL004W.1	622915	624621
YPR060C	YPR060C.1	YPR060C	YPR060C.1	674861	675631
YEL018W	YEL018W.1	YEL018W	YEL018W.1	121471	122310
YEL043W	YEL043W.1	YEL043W	YEL043W.1	70478	73348
YHR069C	YHR069C.1	YHR069C	YHR069C.1	233579	234658
YLR323C	YLR323C.1	YLR323C	YLR323C.1	778173	778952
YGL172W	YGL172W.1	YGL172W	YGL172W.1	180700	182118
YPL053C	YPL053C.1	YPL053C	YPL053C.1	457118	458458
YJR070C	YJR070C.1	YJR070C	YJR070C.1	569621	570598
YPL283C	YPL283C.1	YPL283C	YPL283C.1	280	6007
YDL143W	YDL143W.1	YDL143W	YDL143W.1	199996	201582
YDR257C	YDR257C.1	YDR257C	YDR257C.1	969990	971474
YKL162C	YKL162C.1	YKL162C	YKL162C.1	147630	148838
YHL027W	YHL027W.1	YHL027W	YHL027W.1	51111	52988
YAR068W	YAR068W.1	YAR068W	YAR068W.1	222406	222891
YMR290C	YMR290C.1	YMR290C	YMR290C.1	850074	851591
YGR296C-A	YGR296C-A.1	YGR296C-A	YGR296C-A.1	1088870	1089445
YDL021W	YDL021W.1	YDL021W	YDL021W.1	413953	414888
YDR452W	YDR452W.1	YDR452W	YDR452W.1	1362878	1364902
YPL211W	YPL211W.1	YPL211W	YPL211W.1	153495	154040
YBR074W	YBR074W.1	YBR074W	YBR074W.1	386286	389216
YAL038W	YAL038W.1	YAL038W	YAL038W.1	71786	73288
YBL071W-A	YBL071W-A.1	YBL071W-A	YBL071W-A.1	89978	90226
YMR024W	YMR024W.1	YMR024W	YMR024W.1	321875	323047
YOL047C	YOL047C.1	YOL047C	YOL047C.1	241614	242747
YDL018C	YDL018C.1	YDL018C	YDL018C.1	422833	423510
YLR147C	YLR147C.1	YLR147C	YLR147C.1	434158	434463
YIL061C	YIL061C.1	YIL061C	YIL061C.1	244657	245559
YML012W	YML012W.1	YML012W	YML012W.1	246116	246751
YHR187W	YHR187W.1	YHR187W	YHR187W.1	480990	481919
Q0250	Q0250.1	Q0250	Q0250.1	73758	74513
YGR155W	YGR155W.1	YGR155W	YGR155W.1	798543	800066
YLR155C	YLR155C.1	YLR155C	YLR155C.1	469317	470405
YLR136C	YLR136C.1	YLR136C	YLR136C.1	415801	416658
YKR015C	YKR015C.1	YKR015C	YKR015C.1	466961	468667
YDL060W	YDL060W.1	YDL060W	YDL060W.1	341619	343985
YLR320W	YLR320W.1	YLR320W	YLR320W.1	771940	776304
YIL069C	YIL069C.1	YIL069C	YIL069C.1	231553	232369
YHR075C	YHR075C.1	YHR075C	YHR075C.1	248439	249641
YIL085C	YIL085C.1	YIL085C	YIL085C.1	200490	202043
YGL195W	YGL195W.1	YGL195W	YGL195W.1	131525	139543
YDR062W	YDR062W.1	YDR062W	YDR062W.1	576474	578159
YOL119C	YOL119C.1	YOL119C	YOL119C.1	94856	96361
YJR105W	YJR105W.1	YJR105W	YJR105W.1	623581	624603
YNL289W	YNL289W.1	YNL289W	YNL289W.1	87897	88736
YER161C	YER161C.1	YER161C	YER161C.1	499347	500348
YNR036C	YNR036C.1	YNR036C	YNR036C.1	694361	694822
YAL067C	YAL067C.1	YAL067C	YAL067C.1	7235	9016
YMR247C	YMR247C.1	YMR247C	YMR247C.1	763351	768039
YOR316C-A	YOR316C-A.1	YOR316C-A	YOR316C-A.1	907726	907935
YJL096W	YJL096W.1	YJL096W	YJL096W.1	246490	246975
YMR111C	YMR111C.1	YMR111C	YMR111C.1	492404	493792
YBR136W	YBR136W.1	YBR136W	YBR136W.1	505668	512774
YKL059C	YKL059C.1	YKL059C	YKL059C.1	328118	329443
YGR018C	YGR018C.1	YGR018C	YGR018C.1	524365	524694
YMR090W	YMR090W.1	YMR090W	YMR090W.1	449245	449928
YNR061C	YNR061C.1	YNR061C	YNR061C.1	742881	743540
YGR119C	YGR119C.1	YGR119C	YGR119C.1	728046	729671
YGR235C	YGR235C.1	YGR235C	YGR235C.1	961360	962061
YER121W	YER121W.1	YER121W	YER121W.1	402375	402719
YJL204C	YJL204C.1	YJL204C	YJL204C.1	50629	53151
YER180C-A	YER180C-A.1	YER180C-A	YER180C-A.1	550865	551122
YMR294W-A	YMR294W-A.1	YMR294W-A	YMR294W-A.1	858209	858568
YGR209C	YGR209C.1	YGR209C	YGR209C.1	912913	913227
YMR306C-A	YMR306C-A.1	YMR306C-A	YMR306C-A.1	886183	886572
YNL154C	YNL154C.1	YNL154C	YNL154C.1	343636	345276
YDL012C	YDL012C.1	YDL012C	YDL012C.1	431108	431517
YBL064C	YBL064C.1	YBL064C	YBL064C.1	100371	101156
YDL181W	YDL181W.1	YDL181W	YDL181W.1	135179	135436
YOR392W	YOR392W.1	YOR392W	YOR392W.1	1079282	1079725
YMR133W	YMR133W.1	YMR133W	YMR133W.1	536207	537609
YKL029C	YKL029C.1	YKL029C	YKL029C.1	382716	384725
YPR106W	YPR106W.1	YPR106W	YPR106W.1	740061	741392
YNL039W	YNL039W.1	YNL039W	YNL039W.1	555048	556832
YDL149W	YDL149W.1	YDL149W	YDL149W.1	184925	187918
YER170W	YER170W.1	YER170W	YER170W.1	525974	526651
YDR009W	YDR009W.1	YDR009W	YDR009W.1	463434	464996
YBR282W	YBR282W.1	YBR282W	YBR282W.1	768240	768680
YGR187C	YGR187C.1	YGR187C	YGR187C.1	870232	871416
YLR007W	YLR007W.1	YLR007W	YLR007W.1	164392	165402
YPL269W	YPL269W.1	YPL269W	YPL269W.1	33013	34947
Q0110	Q0110.1	Q0110	Q0110.1	36540	38579
YER013W	YER013W.1	YER013W	YER013W.1	178841	182278
YER060W	YER060W.1	YER060W	YER060W.1	274567	276153
YDR407C	YDR407C.1	YDR407C	YDR407C.1	1284069	1287938
YHR137W	YHR137W.1	YHR137W	YHR137W.1	375709	377250
YHL034W-A	YHL034W-A.1	YHL034W-A	YHL034W-A.1	33176	33637
YGL009C	YGL009C.1	YGL009C	YGL009C.1	476313	478652
YGR058W	YGR058W.1	YGR058W	YGR058W.1	606136	607143
YIR041W	YIR041W.1	YIR041W	YIR041W.1	433929	434303
YIL008W	YIL008W.1	YIL008W	YIL008W.1	342536	342835
YBR192W	YBR192W.1	YBR192W	YBR192W.1	607652	608785
YHR101C	YHR101C.1	YHR101C	YHR101C.1	314874	315968
YDR279W	YDR279W.1	YDR279W	YDR279W.1	1019368	1020420
YBL009W	YBL009W.1	YBL009W	YBL009W.1	207194	209224
YER029C	YER029C.1	YER029C	YER029C.1	212587	213177
YLR243W	YLR243W.1	YLR243W	YLR243W.1	624203	625021
YOL048C	YOL048C.1	YOL048C	YOL048C.1	240204	241310
YJL025W	YJL025W.1	YJL025W	YJL025W.1	393967	395511
YDR427W	YDR427W.1	YDR427W	YDR427W.1	1322205	1323386
YDR246W	YDR246W.1	YDR246W	YDR246W.1	954288	954947
YLR187W	YLR187W.1	YLR187W	YLR187W.1	524865	527945
YER182W	YER182W.1	YER182W	YER182W.1	552525	553259
YDL024C	YDL024C.1	YDL024C	YDL024C.1	408451	409857
YMR137C	YMR137C.1	YMR137C	YMR137C.1	542978	544963
YNL163C	YNL163C.1	YNL163C	YNL163C.1	326741	330073
YMR228W	YMR228W.1	YMR228W	YMR228W.1	724626	725651
YOL148C	YOL148C.1	YOL148C	YOL148C.1	45760	47574
YJR069C	YJR069C.1	YJR069C	YJR069C.1	568806	569399
YDR411C	YDR411C.1	YDR411C	YDR411C.1	1293369	1294394
YBR232C	YBR232C.1	YBR232C	YBR232C.1	683373	683732
YIL066C	YIL066C.1	YIL066C	YIL066C.1	238099	240708
YNL061W	YNL061W.1	YNL061W	YNL061W.1	510540	512396
YDR309C	YDR309C.1	YDR309C	YDR309C.1	1079048	1080199
YER095W	YER095W.1	YER095W	YER095W.1	349980	351182
YCR054C	YCR054C.1	YCR054C	YCR054C.1	218376	220067
YDR499W	YDR499W.1	YDR499W	YDR499W.1	1447830	1450073
YJL138C	YJL138C.1	YJL138C	YJL138C.1	153504	154691
YJL063C	YJL063C.1	YJL063C	YJL063C.1	315759	316475
YKR004C	YKR004C.1	YKR004C	YKR004C.1	446799	448036
YMR206W	YMR206W.1	YMR206W	YMR206W.1	675896	676837
YER092W	YER092W.1	YER092W	YER092W.1	342855	343232
YLR410W	YLR410W.1	YLR410W	YLR410W.1	937541	940981
YMR154C	YMR154C.1	YMR154C	YMR154C.1	565999	568182
YBR101C	YBR101C.1	YBR101C	YBR101C.1	443821	444693
YDR544C	YDR544C.1	YDR544C	YDR544C.1	1525095	1525523
YIL042C	YIL042C.1	YIL042C	YIL042C.1	275108	276292
YOL004W	YOL004W.1	YOL004W	YOL004W.1	316938	321548
YHR112C	YHR112C.1	YHR112C	YHR112C.1	334527	335663
YGL029W	YGL029W.1	YGL029W	YGL029W.1	440063	440425
YPL261C	YPL261C.1	YPL261C	YPL261C.1	48996	49304
YGR160W	YGR160W.1	YGR160W	YGR160W.1	807073	807684
YJR060W	YJR060W.1	YJR060W	YJR060W.1	548759	549814
YDR437W	YDR437W.1	YDR437W	YDR437W.1	1337352	1337774
YHL022C	YHL022C.1	YHL022C	YHL022C.1	62961	64157
YGR017W	YGR017W.1	YGR017W	YGR017W.1	523787	524680
YGL175C	YGL175C.1	YGL175C	YGL175C.1	173285	174322
YIL124W	YIL124W.1	YIL124W	YIL124W.1	126204	127097
YLR305C	YLR305C.1	YLR305C	YLR305C.1	738161	743863
YOR343C	YOR343C.1	YOR343C	YOR343C.1	968148	968474
YGR234W	YGR234W.1	YGR234W	YGR234W.1	959904	961103
YCR004C	YCR004C.1	YCR004C	YCR004C.1	119575	120318
YKL115C	YKL115C.1	YKL115C	YKL115C.1	222893	223285
YKL028W	YKL028W.1	YKL028W	YKL028W.1	385758	387206
YPR173C	YPR173C.1	YPR173C	YPR173C.1	886524	887837
